gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YDL214C,88.41285,-1.649983,0.43902659,4.548747e-05,0.0001562985
YDL215C,284.9221,-3.289542,0.25032285,1.841983e-42,1.6691e-39
YDL216C,36.92629,-1.105094,0.3272604,0.0004187308,0.001203448
YDL222C,423.0215,-5.999491,0.60625863,6.415641999999999e-26,7.398985e-24
YDL223C,751.8885,-2.115387,0.48546291,1.228856e-06,5.685366e-06
YDL238C,25.72879,-1.732546,0.38830825,1.980998e-06,8.756424e-06
YDL247W,12.857,-1.452207,1.06958219,0.02136184,0.04097313
YDL248W,44.08349,-1.001692,0.47218292,0.0198073,0.03824587
YDR007W,84.18446,-2.696104,0.36258604,1.528073e-15,3.389009e-14
YDR016C,25.1832,-2.062913,0.50466164,4.525643e-06,1.87377e-05
YDR018C,144.604,-1.776779,0.27105786,1.390935e-11,1.56154e-10
YDR031W,128.9328,-3.083053,0.4747065,2.438826e-13,3.791537e-12
YDR034W-B,17.98802,-1.11172,0.54547225,0.02065029,0.03974053
YDR035W,59.71491,-1.082803,0.31480249,0.0003412257,0.0009969573
YDR038C,154.5241,-3.79466,0.76196956,5.850981e-10,4.870443e-09
YDR040C,77.39192,-3.037122,0.98662884,9.459568e-06,3.696983e-05
YDR046C,274.1881,-1.585437,0.14972879,1.2102600000000001e-26,1.476285e-24
YDR059C,25.95929,-1.471442,0.38997605,5.870643e-05,0.0001975464
YDR066C,48.56126,-1.01097,0.44221644,0.01310238,0.02650141
YDR069C,148.4796,-1.50688,0.33554016,2.569005e-06,1.110027e-05
YDR072C,255.3116,-2.747128,0.2586611,2.953851e-28,4.804173e-26
YDR073W,305.5038,-2.344555,0.20762327,9.309805e-31,2.4605040000000003e-28
YDR075W,16.58581,-1.238588,0.37898967,0.0005265892,0.001479909
YDR077W,398.4632,-1.248714,0.24147312,1.20201e-07,6.653012e-07
YDR078C,136.7055,-1.063611,0.21864937,7.074012e-07,3.438349e-06
YDR089W,127.5947,-1.031743,0.20192052,2.050889e-07,1.090426e-06
YDR096W,175.9385,-1.131047,0.25335908,4.620615e-06,1.909353e-05
YDR100W,85.18993,-3.167842,0.3889834,7.310095999999999e-19,2.8273130000000005e-17
YDR105C,157.177,-2.447431,0.23450709,7.500928e-27,9.329095e-25
YDR106W,65.954,-2.104691,0.27046678,8.889882e-16,2.043062e-14
YDR107C,73.56382,-1.991339,0.20587364,6.734631e-23,5.085448e-21
YDR119W-A,253.1021,-5.526871,0.38397084,5.161887e-49,8.185462e-46
YDR131C,27.39088,-1.543556,0.31548042,3.475235e-07,1.776262e-06
YDR134C,185.1852,-1.277393,0.3387326,7.766377e-05,0.0002556661
YDR142C,32.84013,-1.239803,0.32206348,5.93933e-05,0.0001997517
YDR148C,107.5871,-2.537028,0.27197181,3.2823290000000003e-22,2.214874e-20
YDR160W,103.2722,-1.53983,0.23954453,4.758149e-11,4.790626e-10
YDR173C,136.082,-1.389723,0.18984425,1.123555e-13,1.818038e-12
YDR177W,280.2614,-1.396785,0.17682997,1.272643e-15,2.88299e-14
YDR178W,70.4583,-4.311948,0.4869657,1.058001e-21,6.918452e-20
YDR185C,39.43369,-1.204413,0.30579784,4.299619e-05,0.000148543
YDR189W,35.40825,-1.171112,0.25743999,2.981928e-06,1.272838e-05
YDR196C,59.00513,-1.233658,0.29420001,1.408768e-05,5.328451e-05
YDR204W,77.4866,-1.594421,0.33851698,7.902677e-07,3.809018e-06
YDR205W,104.3376,-1.014043,0.2117092,1.072926e-06,5.029984e-06
YDR216W,228.6088,-2.07257,0.39011089,1.281028e-08,8.499539e-08
YDR223W,138.3481,-1.313335,0.28751606,2.329496e-06,1.016231e-05
YDR224C,84.17573,-2.114875,0.51931292,4.136103e-06,1.722607e-05
YDR225W,393.7805,-3.969373,0.44495493,2.995896e-22,2.088239e-20
YDR233C,595.6048,-3.681243,0.25504095,1.311173e-50,2.772256e-47
YDR236C,29.17247,-1.648535,0.39111244,6.994153e-06,2.816757e-05
YDR246W-A,7.554019,-1.73747,0.66677542,0.001508635,0.003841538
YDR247W,51.97164,-2.346108,0.42792368,2.156863e-09,1.636481e-08
YDR248C,24.88364,-1.846546,0.49132115,2.964061e-05,0.0001054461
YDR249C,60.99597,-1.804113,0.27954656,2.580677e-11,2.741915e-10
YDR254W,81.09557,-1.611131,0.26871169,6.629635e-10,5.461269e-09
YDR256C,14.03346,-1.467895,0.45212654,0.0004043283,0.001168408
YDR262W,93.00146,-1.307273,0.38905804,0.0003487063,0.001015539
YDR272W,208.8058,-1.544225,0.40063467,3.778266e-05,0.0001319799
YDR273W,261.0066,-1.229621,0.22805241,3.69321e-08,2.228928e-07
YDR275W,87.41381,-2.489308,0.3486813,3.208948e-14,5.782488e-13
YDR276C,78.49847,-3.723525,0.435077,6.51722e-21,3.9370219999999997e-19
YDR288W,71.3612,-1.863825,0.37605521,1.386282e-07,7.599991e-07
YDR302W,42.50991,-2.710515,0.49361565,5.128184e-10,4.308354e-09
YDR305C,99.94177,-1.234663,0.21202836,3.0626e-09,2.264111e-08
YDR307W,59.37631,-1.078751,0.22376648,8.685925e-07,4.145585e-06
YDR319C,131.2532,-1.702348,0.28021446,3.490776e-10,3.024862e-09
YDR320C-A,306.7661,-1.974216,0.56610858,5.710444e-05,0.000192462
YDR322C-A,76.47109,-2.486748,0.39579413,1.091498e-11,1.254234e-10
YDR328C,57.69814,-1.839842,0.32010293,1.934302e-09,1.478226e-08
YDR330W,33.37784,-1.352356,0.34203253,3.369711e-05,0.0001184159
YDR338C,79.03729,-1.333159,0.2327094,4.804449e-09,3.447355e-08
YDR342C,5205.573,-4.379164,0.32305799,1.5310839999999998e-44,1.942333e-41
YDR345C,363.0348,-1.127531,0.37789427,0.001553118,0.003935848
YDR347W,34.2259,-1.372809,0.37634479,0.000110524,0.0003546048
YDR354W,36.75053,-1.616278,0.37926046,6.046802e-06,2.453926e-05
YDR357C,243.6297,-2.143213,0.37444512,1.049073e-09,8.38069e-09
YDR371W,116.4747,-2.325163,0.32428718,4.667682e-14,8.111536e-13
YDR375C,62.32135,-1.377741,0.27432924,2.262214e-07,1.191796e-06
YDR377W,107.2742,-2.131826,0.31525941,1.507899e-12,2.017848e-11
YDR378C,40.2502,-1.023678,0.34477581,0.001820025,0.004521903
YDR379C-A,63.81267,-2.007465,0.44356729,7.811053e-07,3.770587e-06
YDR380W,63.75819,-2.433693,0.54487114,2.639367e-07,1.374582e-06
YDR381C-A,201.9264,-1.711115,0.31053297,9.726818e-09,6.626982e-08
YDR384C,8.275158,-1.215081,0.50548882,0.007405485,0.01597721
YDR409W,54.26912,-1.22825,0.26343886,1.633346e-06,7.368642e-06
YDR415C,60.90745,-1.264724,0.27703085,2.496425e-06,1.081614e-05
YDR424C,118.2299,-1.881831,0.31522409,4.695645e-10,3.976565e-09
YDR435C,33.59338,-2.735471,0.46339041,4.21319e-11,4.282735e-10
YDR436W,88.8944,-1.413518,0.26278564,3.200821e-08,1.955955e-07
YDR437W,6.68227,-2.941888,1.13581994,5.255489e-05,0.0001785515
YDR438W,61.67939,-1.183322,0.24481971,7.378819e-07,3.575542e-06
YDR453C,78.79308,-1.925408,0.58845491,0.0001348486,0.0004261808
YDR456W,149.6933,-1.927966,0.21479062,5.461750999999999e-20,2.474563e-18
YDR461C-A,20.01775,-1.317909,0.42469999,0.0008246661,0.00222495
YDR476C,34.67942,-2.104036,0.39154919,8.435448e-09,5.815875e-08
YDR479C,231.9506,-1.643692,0.30261619,1.699935e-08,1.096916e-07
YDR481C,86.35431,-1.053414,0.25812493,2.752157e-05,9.853055e-05
YDR492W,129.973,-2.813247,0.51982133,5.324209e-10,4.458942e-09
YDR493W,37.8521,-1.077568,0.37853338,0.002526097,0.006104014
YDR504C,55.56675,-2.538971,0.31387685,1.7553960000000002e-17,5.405087e-16
YDR505C,166.7274,-2.154542,0.28796509,7.853455e-15,1.532753e-13
YDR512C,28.59759,-1.734381,0.40969312,5.467875e-06,2.240486e-05
YDR516C,275.1194,-1.607726,0.35435556,1.760831e-06,7.871003e-06
YDR519W,12.10714,-1.134386,0.39401084,0.002141933,0.005253783
YDR524C,96.65423,-1.707223,0.20250511,1.009216e-17,3.282799e-16
YDR525W-A,34.96018,-1.124816,0.4580102,0.007334745,0.01585554
YDR529C,2105.823,-1.926312,0.25231162,4.307245e-15,8.928384e-14
YDR531W,41.39099,-1.085516,0.33295204,0.0006453612,0.001776704
YDR536W,11.11513,-1.951787,0.62482493,0.0001999079,0.0006140511
YDR541C,19.11289,-1.694065,0.4540455,4.624826e-05,0.000158569
YEL011W,3326.134,-1.765682,0.26266359,4.58901e-12,5.528677e-11
YEL012W,284.9369,-2.296704,0.25972976,6.796761999999999e-20,3.036046e-18
YEL013W,95.01956,-1.02924,0.2138628,9.453528e-07,4.478247e-06
YEL017C-A,119.3791,-5.297472,0.61418487,3.061415e-20,1.517074e-18
YEL020W-A,55.96149,-1.976792,0.41080319,2.172752e-07,1.152322e-06
YEL024W,15.95331,-4.367015,1.24001923,3.021888e-07,1.557095e-06
YEL025C,98.76885,-1.436907,0.27524076,7.358704e-08,4.197505e-07
YEL027W,64.23917,-1.900849,0.5147731,3.317378e-05,0.0001166415
YEL035C,50.89311,-2.362852,0.33765842,1.409699e-13,2.241033e-12
YEL038W,99.48827,-1.714008,0.32003511,2.284701e-08,1.441976e-07
YEL039C,295.0937,-2.663471,0.45201741,6.031285e-11,5.931231e-10
YEL041W,76.52189,-1.399984,0.25052572,1.002643e-08,6.794617e-08
YEL044W,71.91971,-2.053754,0.33351291,9.774044e-11,9.212e-10
YEL046C,60.85182,-2.34988,0.38254227,4.357751e-11,4.415529e-10
YEL059W,4.125726,-1.775106,0.85813851,0.004128386,0.009508479
YEL062W,39.85365,-1.144117,0.27390899,1.664852e-05,6.200913e-05
YEL069C,5.516075,-1.615763,0.7716286,0.006265081,0.01376018
YEL070W,10.46459,-2.291051,0.83901308,0.0002138911,0.0006538369
YEL071W,253.5899,-3.188182,0.36182695,2.100558e-21,1.332384e-19
YEL072W,44.60739,-1.904341,0.33928947,3.674784e-09,2.666951e-08
YER019W,63.81751,-1.698094,0.39448922,4.301396e-06,1.789099e-05
YER024W,94.04799,-2.375442,0.3630121,3.03044e-12,3.813905e-11
YER037W,314.2263,-1.130723,0.3685814,0.001178299,0.003078233
YER038W-A,6.05464,-2.131006,0.62440063,4.634887e-05,0.0001588281
YER039C-A,5.380326,-3.611327,1.53714096,2.642167e-05,9.500717e-05
YER042W,32.74448,-1.048979,0.40665869,0.005729553,0.01270719
YER044C,399.1144,-2.837453,0.32794992,4.016206e-20,1.909076e-18
YER046W,62.93155,-3.51407,0.4438834,1.811983e-18,6.56766e-17
YER048W-A,8.053843,-1.843264,0.62417442,0.0004479856,0.001277111
YER052C,20.09424,-1.056533,0.44469086,0.009862954,0.02061309
YER053C,1415.264,-1.218248,0.23324953,9.409894e-08,5.268046e-07
YER053C-A,2.247937,-1.614541,1.10988591,0.01215149,0.02482348
YER055C,74.46707,-1.60732,0.39731919,1.551827e-05,5.814082e-05
YER065C,39.24716,-2.857713,0.37841162,3.092754e-16,7.663023e-15
YER066W,63.82921,-3.408006,0.40264744,2.244805e-20,1.1482900000000002e-18
YER067W,2022.405,-1.263159,0.38190652,0.0004449293,0.001270683
YER076C,8.375722,-1.456897,0.544894,0.002392534,0.005805603
YER078C,59.86562,-1.860717,0.27702145,3.953604e-12,4.860021e-11
YER079W,1000.879,-1.640128,0.23256313,5.633992e-13,8.215267e-12
YER081W,300.2239,-1.507406,0.19875146,1.310579e-14,2.484599e-13
YER089C,70.91344,-1.451047,0.35963231,2.094326e-05,7.656663e-05
YER094C,100.0392,-1.12373,0.2660306,1.38188e-05,5.242382e-05
YER119C,103.2241,-2.205195,0.22552596,1.377501e-23,1.138901e-21
YER121W,29.24725,-1.769586,0.50550827,9.188647e-05,0.0002988902
YER124C,167.1412,-1.295102,0.2719313,9.287729e-07,4.406288e-06
YER133W,405.4737,-1.113068,0.2449897,3.244593e-06,1.375699e-05
YER136W,194.955,-1.623301,0.24109692,5.434584e-12,6.467461e-11
YER141W,178.5244,-1.079578,0.21998716,5.609665e-07,2.764732e-06
YER143W,64.08939,-1.06265,0.25703228,2.169288e-05,7.894316e-05
YER144C,158.0474,-1.094603,0.274324,3.889541e-05,0.0001355569
YER150W,647.2205,-1.240319,0.64392642,0.02085927,0.04011837
YER178W,190.9289,-1.401808,0.34503322,1.998361e-05,7.335418e-05
YER180C-A,15.40835,-1.004132,0.39756558,0.006995167,0.01518521
YER181C,22.30243,-2.687875,0.41507846,1.390557e-12,1.872676e-11
YER188W,148.7913,-5.702819,0.69437784,5.217211e-19,2.1213310000000002e-17
YFL005W,20.60929,-1.494211,0.46338265,0.0004161233,0.001198125
YFL009W,166.8528,-3.009085,0.2439082,1.9668759999999998e-37,8.911352e-35
YFL010C,48.99578,-1.31535,0.43386261,0.00104316,0.00276852
YFL010W-A,26.73286,-1.901296,0.45932089,5.620168e-06,2.293998e-05
YFL014W,379.0568,-1.764734,0.56473123,0.0003265598,0.000962532
YFL015C,5.971414,-1.705547,0.7648572,0.003792267,0.008788582
YFL026W,42.97219,-1.829725,0.30712577,5.643495e-10,4.710091e-09
YFL028C,26.7625,-1.104006,0.44438597,0.0069786,0.01515934
YFL030W,67.14206,-3.39681,0.5108814,3.287361e-14,5.907007e-13
YFL051C,48.60027,-3.249632,0.63541855,6.443754e-10,5.328909e-09
YFL052W,152.9207,-3.492289,0.4430597,2.491097e-18,8.778349000000001e-17
YFL055W,8.432503,-1.266299,0.6461533,0.01857492,0.03614132
YFL066C,7.185346,-2.837064,0.75811587,1.400575e-06,6.391258e-06
YFR007W,40.8033,-1.188674,0.31657316,9.194175e-05,0.0002989167
YFR014C,606.6416,-1.335902,0.30963773,7.289754e-06,2.919123e-05
YFR015C,403.6691,-1.81734,0.28786647,6.268726e-11,6.15519e-10
YFR017C,330.1093,-1.090814,0.36916975,0.001775321,0.00441949
YFR018C,13.72719,-1.042183,0.49606275,0.01975035,0.03814793
