gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YNCN0016C,18.82854,-2.177403,0.80344879,1.175583e-05,0.0003332095
YNCN0018W,1208.717,-1.793371,0.42271862,5.401708e-07,3.098788e-05
YNCN0019C,70.54564,-1.701311,0.61015342,5.33706e-05,0.001080533
YNCO0007W,15.05529,-1.446137,0.66283053,0.0003539807,0.004550967
YNCO0020C,38.25554,-1.386216,0.5770204,0.0002672067,0.003769346
YNCO0022C,2920.063,-1.783703,0.39634389,1.942954e-07,1.392984e-05
YNCP0013C,9247.804,-2.138388,0.37676651,2.69016e-10,5.953664e-08
YNCP0014C,1680.048,-3.958875,1.07166088,4.340895e-10,9.121866e-08
YNCP0016W,68.52655,-2.375224,3.13088519,0.000124742,0.002147394
YNL035C,16.78595,-1.213036,0.47223289,0.0002466986,0.003562514
YNL040W,34.38299,-1.426958,0.4471752,3.139719e-05,0.0007193024
YNL052W,23.14542,-1.231173,0.61676444,0.0009039915,0.009353012
YNL081C,43.95274,-1.061619,0.39574793,0.0002227391,0.003286615
YNL117W,52.82357,-2.542077,0.56692683,2.077297e-08,2.372987e-06
YNL166C,132.9851,-1.024645,0.31895511,4.117923e-05,0.000871341
YNL214W,26.2737,-1.436606,0.39373109,7.130341e-06,0.000226314
YNL231C,478.4764,-1.211493,0.46618326,0.0002279511,0.003347311
YNL327W,148.8671,-1.199889,0.28112746,6.584557e-07,3.550999e-05
YNR063W,48.12929,-1.129395,0.32903222,1.754097e-05,0.0004662355
YOL015W,39.17315,-1.192804,0.38916718,5.856147e-05,0.001166254
YOL101C,396.261,-1.726654,0.37860913,1.645864e-07,1.223158e-05
YOL109W,483.5062,-2.143524,0.28868498,2.717763e-15,2.217901e-12
YOL113W,157.9436,-1.585011,0.21071671,4.205918e-15,2.847874e-12
YOL114C,160.2134,-1.36722,0.28773148,8.419096e-08,6.840796e-06
YOL115W,406.5059,-1.26403,0.17605881,4.176061e-14,2.305086e-11
YOL126C,30.04018,-1.381005,0.35236089,2.766414e-06,0.0001101864
YOL128C,28.29428,-1.028517,0.44348976,0.0006662608,0.007359732
YOR049C,591.2806,-1.254826,0.3061935,1.369663e-06,6.420557e-05
YOR083W,140.7016,-1.013831,0.35270714,0.0001306146,0.002235858
YOR100C,64.93118,-1.016719,0.51286016,0.001595854,0.01432273
YOR113W,149.3132,-1.036786,0.21183275,3.150904e-08,3.200268e-06
YOR114W,109.9075,-1.557133,0.46710524,1.720934e-05,0.0004640429
YOR204W,69.65263,-1.325522,0.56449025,0.0003453212,0.004458448
YOR328W,267.1046,-1.10592,0.45621639,0.0004354959,0.005337281
YOR348C,75.20451,-1.40951,0.34834321,1.691779e-06,7.525328e-05
YPL059W,120.1853,-1.206888,0.31037314,3.131168e-06,0.0001185176
YPL077C,15.34902,-1.225226,0.45661988,0.0001768449,0.00282859
YPL147W,162.061,-1.057863,0.37406749,0.0001430296,0.002401164
YPL191C,43.85742,-1.011058,0.32652077,6.252015e-05,0.001237006
YPL202C,13.00947,-1.143133,0.63089942,0.001613624,0.01443968
YPR002W,25.61399,-1.248304,0.62907386,0.0008812402,0.009133126
YPR065W,129.7536,-1.290433,0.39975912,3.20641e-05,0.00073183
YPR101W,76.958,-1.042941,0.50920599,0.00128674,0.01230988
YPR145C-A,41.8514,-1.253638,0.58871282,0.0006554123,0.007288472
YPR152C,36.64431,-1.037228,0.44474751,0.0006325881,0.00707338
